entity_id,ticker,historical_ticker,cik,company_name,sector,industry,selection_date,market_cap_at_selection,entry_date,exit_date,delisting_date,mapping_source,mapping_available_time_utc
CIK0000097745,TMO,TMO,0000097745,Thermo Fisher Scientific Inc.,Health Care,Life Sciences Tools,2016-01-01,62,2016-01-01,,,SEC_company_tickers_plus_manual_sector_mapping,2016-01-01T00:00:00+00:00
CIK0000063908,MCD,MCD,0000063908,McDonald's Corporation,Consumer Discretionary,Restaurants,2016-01-01,61,2016-01-01,,,SEC_company_tickers_plus_manual_sector_mapping,2016-01-01T00:00:00+00:00
CIK0000001800,ABT,ABT,0000001800,Abbott Laboratories,Health Care,Health Care Equipment,2016-01-01,60,2016-01-01,,,SEC_company_tickers_plus_manual_sector_mapping,2016-01-01T00:00:00+00:00
CIK0000318154,AMGN,AMGN,0000318154,Amgen Inc.,Health Care,Biotechnology,2016-01-01,59,2016-01-01,,,SEC_company_tickers_plus_manual_sector_mapping,2016-01-01T00:00:00+00:00
CIK0000051143,IBM,IBM,0000051143,International Business Machines Corporation,Information Technology,IT Services,2016-01-01,58,2016-01-01,,,SEC_company_tickers_plus_manual_sector_mapping,2016-01-01T00:00:00+00:00
CIK0000040545,GE,GE,0000040545,GE Aerospace,Industrials,Aerospace & Defense,2016-01-01,57,2016-01-01,,,SEC_company_tickers_plus_manual_sector_mapping,2016-01-01T00:00:00+00:00
CIK0000018230,CAT,CAT,0000018230,Caterpillar Inc.,Industrials,Machinery,2016-01-01,56,2016-01-01,,,SEC_company_tickers_plus_manual_sector_mapping,2016-01-01T00:00:00+00:00
CIK0000886982,GS,GS,0000886982,"The Goldman Sachs Group, Inc.",Financials,Capital Markets,2016-01-01,55,2016-01-01,,,SEC_company_tickers_plus_manual_sector_mapping,2016-01-01T00:00:00+00:00
CIK0000895421,MS,MS,0000895421,Morgan Stanley,Financials,Capital Markets,2016-01-01,54,2016-01-01,,,SEC_company_tickers_plus_manual_sector_mapping,2016-01-01T00:00:00+00:00
CIK0001373715,NOW,NOW,0001373715,"ServiceNow, Inc.",Information Technology,Software,2016-01-01,53,2016-01-01,,,SEC_company_tickers_plus_manual_sector_mapping,2016-01-01T00:00:00+00:00
CIK0000004962,AXP,AXP,0000004962,American Express Company,Financials,Consumer Finance,2016-01-01,52,2016-01-01,,,SEC_company_tickers_plus_manual_sector_mapping,2016-01-01T00:00:00+00:00
CIK0001744489,DIS,DIS,0001744489,The Walt Disney Company,Communication Services,Entertainment,2016-01-01,51,2016-01-01,,,SEC_company_tickers_plus_manual_sector_mapping,2016-01-01T00:00:00+00:00
