model_id,model_name,expected_label_pairs,predicted_label_pairs,model_expected_prediction_coverage,top_failure_stage
historical_mean::CAR_1_20::train_2016_2020__val_2021_2021__test_2022_2022,historical_mean,18,18,1.0,none
historical_mean::CAR_1_20::train_2016_2021__val_2022_2022__test_2023_2023,historical_mean,18,18,1.0,none
historical_mean::CAR_1_20::train_2016_2022__val_2023_2023__test_2024_2024,historical_mean,18,18,1.0,none
historical_mean::CAR_1_20::train_2016_2023__val_2024_2024__test_2025_2025,historical_mean,18,18,1.0,none
historical_mean::CAR_1_5::train_2016_2020__val_2021_2021__test_2022_2022,historical_mean,20,20,1.0,none
historical_mean::CAR_1_5::train_2016_2021__val_2022_2022__test_2023_2023,historical_mean,20,20,1.0,none
historical_mean::CAR_1_5::train_2016_2022__val_2023_2023__test_2024_2024,historical_mean,20,20,1.0,none
historical_mean::CAR_1_5::train_2016_2023__val_2024_2024__test_2025_2025,historical_mean,20,20,1.0,none
historical_mean::realized_volatility_1_20::train_2016_2020__val_2021_2021__test_2022_2022,historical_mean,18,18,1.0,none
historical_mean::realized_volatility_1_20::train_2016_2021__val_2022_2022__test_2023_2023,historical_mean,18,18,1.0,none
historical_mean::realized_volatility_1_20::train_2016_2022__val_2023_2023__test_2024_2024,historical_mean,18,18,1.0,none
historical_mean::realized_volatility_1_20::train_2016_2023__val_2024_2024__test_2025_2025,historical_mean,18,18,1.0,none
industry_mean::CAR_1_20::train_2016_2020__val_2021_2021__test_2022_2022,industry_mean,18,18,1.0,none
industry_mean::CAR_1_20::train_2016_2021__val_2022_2022__test_2023_2023,industry_mean,18,18,1.0,none
industry_mean::CAR_1_20::train_2016_2022__val_2023_2023__test_2024_2024,industry_mean,18,18,1.0,none
industry_mean::CAR_1_20::train_2016_2023__val_2024_2024__test_2025_2025,industry_mean,18,18,1.0,none
industry_mean::CAR_1_5::train_2016_2020__val_2021_2021__test_2022_2022,industry_mean,20,20,1.0,none
industry_mean::CAR_1_5::train_2016_2021__val_2022_2022__test_2023_2023,industry_mean,20,20,1.0,none
industry_mean::CAR_1_5::train_2016_2022__val_2023_2023__test_2024_2024,industry_mean,20,20,1.0,none
industry_mean::CAR_1_5::train_2016_2023__val_2024_2024__test_2025_2025,industry_mean,20,20,1.0,none
industry_mean::realized_volatility_1_20::train_2016_2020__val_2021_2021__test_2022_2022,industry_mean,18,18,1.0,none
industry_mean::realized_volatility_1_20::train_2016_2021__val_2022_2022__test_2023_2023,industry_mean,18,18,1.0,none
industry_mean::realized_volatility_1_20::train_2016_2022__val_2023_2023__test_2024_2024,industry_mean,18,18,1.0,none
industry_mean::realized_volatility_1_20::train_2016_2023__val_2024_2024__test_2025_2025,industry_mean,18,18,1.0,none
ridge::CAR_1_20::train_2016_2020__val_2021_2021__test_2022_2022,ridge,18,18,1.0,none
ridge::CAR_1_20::train_2016_2021__val_2022_2022__test_2023_2023,ridge,18,18,1.0,none
ridge::CAR_1_20::train_2016_2022__val_2023_2023__test_2024_2024,ridge,18,18,1.0,none
ridge::CAR_1_20::train_2016_2023__val_2024_2024__test_2025_2025,ridge,18,18,1.0,none
ridge::CAR_1_5::train_2016_2020__val_2021_2021__test_2022_2022,ridge,20,20,1.0,none
ridge::CAR_1_5::train_2016_2021__val_2022_2022__test_2023_2023,ridge,20,20,1.0,none
ridge::CAR_1_5::train_2016_2022__val_2023_2023__test_2024_2024,ridge,20,20,1.0,none
ridge::CAR_1_5::train_2016_2023__val_2024_2024__test_2025_2025,ridge,20,20,1.0,none
ridge::realized_volatility_1_20::train_2016_2020__val_2021_2021__test_2022_2022,ridge,18,18,1.0,none
ridge::realized_volatility_1_20::train_2016_2021__val_2022_2022__test_2023_2023,ridge,18,18,1.0,none
ridge::realized_volatility_1_20::train_2016_2022__val_2023_2023__test_2024_2024,ridge,18,18,1.0,none
ridge::realized_volatility_1_20::train_2016_2023__val_2024_2024__test_2025_2025,ridge,18,18,1.0,none
xgboost::CAR_1_20::train_2016_2020__val_2021_2021__test_2022_2022,xgboost,18,18,1.0,none
xgboost::CAR_1_20::train_2016_2021__val_2022_2022__test_2023_2023,xgboost,18,18,1.0,none
xgboost::CAR_1_20::train_2016_2022__val_2023_2023__test_2024_2024,xgboost,18,18,1.0,none
xgboost::CAR_1_20::train_2016_2023__val_2024_2024__test_2025_2025,xgboost,18,18,1.0,none
xgboost::CAR_1_5::train_2016_2020__val_2021_2021__test_2022_2022,xgboost,20,20,1.0,none
xgboost::CAR_1_5::train_2016_2021__val_2022_2022__test_2023_2023,xgboost,20,20,1.0,none
xgboost::CAR_1_5::train_2016_2022__val_2023_2023__test_2024_2024,xgboost,20,20,1.0,none
xgboost::CAR_1_5::train_2016_2023__val_2024_2024__test_2025_2025,xgboost,20,20,1.0,none
xgboost::realized_volatility_1_20::train_2016_2020__val_2021_2021__test_2022_2022,xgboost,18,18,1.0,none
xgboost::realized_volatility_1_20::train_2016_2021__val_2022_2022__test_2023_2023,xgboost,18,18,1.0,none
xgboost::realized_volatility_1_20::train_2016_2022__val_2023_2023__test_2024_2024,xgboost,18,18,1.0,none
xgboost::realized_volatility_1_20::train_2016_2023__val_2024_2024__test_2025_2025,xgboost,18,18,1.0,none
